cation,cation_charge,anion,anion_charge,solubility
Sg,6,NO3,-1,SL
Sg,4,NO3,-1,SL
Bh,3,NO3,-1,SL
Bh,7,NO3,-1,SL
Bh,2,NO3,-1,SL
Bh,6,NO3,-1,SL
Bh,4,NO3,-1,SL
Hs,6,NO3,-1,SL
Hs,2,NO3,-1,SL
Hs,3,NO3,-1,SL
Mt,2,NO3,-1,SL
Mt,6,NO3,-1,SL
Mt,3,NO3,-1,SL
Ds,2,NO3,-1,SL
Ds,3,NO3,-1,SL
Ds,6,NO3,-1,SL
Rg,1,NO3,-1,SL
Rg,2,NO3,-1,SL
Cn,2,NO3,-1,SL
Nh,1,NO3,-1,SL
Nh,3,NO3,-1,SL
Fl,4,NO3,-1,SL
Fl,2,NO3,-1,SL
Mc,5,NO3,-1,SL
Mc,3,NO3,-1,SL
Lv,4,NO3,-1,SL
Lv,2,NO3,-1,SL
Lv,6,NO3,-1,SL
Ts,5,NO3,-1,SL
Ts,3,NO3,-1,SL
Ts,1,NO3,-1,SL
Ts,7,NO3,-1,SL
